State,County,income_1989,income_2010,income_2023,income_1989_real_2023,income_2010_real_2023,income_2023.1,pct_highschool_or_more (1990),pct_highschool_or_more (2010),pct_highschool_or_more_(2023),Established firms 1989,Established firms 2010,Established firms 2022,Pop 1890,Pop 1990,Pop 2010,Pop 2023,churches_1890,churches_1990,churches_2010,churches_2020,church_density_1890,church_density_1990,church_density_2010,church_density_2020,church_persistence_index,Church_persistence_index_3yr,Index_v2,z1890,z1990,index_1890_1990_raw,index_1890_1990
ND,STARK,22048,49536,80744,53911,68864,80744,73.1,87.3,91.2,67.0,72,109,2304.0,22832,24199,33001,13.0,39,43,47,5.64,1.71,1.78,1.42,-0.501495480004691,-0.528869876718778,-0.2264226948265750,2.7023809523809500,-0.5294117647058830,1.086484593837530,0.6605701196468100
ND,STEELE,23307,44191,80313,56989,61434,80313,71.9,88.7,94.5,11.0,4,7,3777.0,2420,1975,1782,19.0,22,15,11,5.03,9.09,7.59,6.17,3.6515226381066,3.64352721620729,2.9314799619857000,1.9761904761904800,3.5,2.7380952380952400,1.9049929291532900
ND,STUTSMAN,22415,44620,60172,54808,62030,60172,73.5,85.7,92.8,36.0,53,46,5266.0,22241,21100,21392,20.0,49,49,45,3.8,2.2,2.32,2.1,-0.292484833983413,-0.138507033851124,-0.0935023200154783,0.5119047619047610,0.0470588235294118,0.2794817927170870,0.052525665258314400
ND,TOWNER,18608,43684,63017,45500,60729,63017,71.9,88.6,89.5,12.0,9,4,1450.0,3627,2246,2030,5.0,15,10,10,3.45,4.14,4.45,4.93,1.29097889629882,1.43385543367854,1.420646697636170,0.09523809523809530,2.3294117647058800,1.2123249299719900,0.7553857986242610
ND,TRAILL,22050,44290,88289,53916,61571,88289,76.6,88.0,93.7,32.0,16,7,10217.0,8752,8121,7908,43.0,32,31,27,4.21,3.66,3.82,3.41,0.872957604256266,0.848802131997818,0.9378553037338500,0.9999999999999990,1.764705882352940,1.3823529411764700,0.8834951300417610
ND,WALSH,21973,44139,69976,53728,61362,69976,68.0,81.4,87.6,44.0,20,11,16587.0,13840,11119,10305,59.0,50,41,37,3.56,3.61,3.69,3.59,1.08196825027754,0.842978728941527,0.8440837779903900,0.22619047619047600,1.705882352941180,0.9660364145658260,0.5698172160067370
ND,WARD,22996,48793,79273,56229,67831,79273,82.8,92.3,95.1,138.0,137,162,1681.0,57921,61675,68332,12.0,92,89,85,7.14,1.59,1.44,1.24,-0.74104186476419,-0.677387185608951,-0.1664395261672010,3.5,-0.6705882352941180,1.4147058823529400,0.9078717820660130
ND,WELLS,18568,40136,61346,45402,55797,61346,63.2,83.1,91.8,11.0,13,13,1212.0,5864,4207,3876,6.0,38,29,27,4.95,6.48,6.89,6.97,2.90497836531928,3.01246855899233,3.0377174930265100,1.8809523809523800,3.5,2.69047619047619,1.869113874225820
ND,WILLIAMS,23249,55396,90224,56848,77011,90224,76.8,87.9,90.6,59.0,72,170,109.0,21129,22398,39113,1.0,46,51,55,9.17,2.18,2.28,1.41,-0.501495480004691,-0.297051084004538,0.2875797402062330,3.5,0.0235294117647059,1.761764705882350,1.1693667765079900
OH,ADAMS,16318,32791,49521,39900,45586,49521,58.4,74.7,85.2,32.0,23,39,26093.0,25371,28550,27521,86.0,59,84,61,3.3,2.33,2.94,2.22,-0.0529384492239134,0.0674226467605635,0.0414871155302949,-0.08333333333333370,0.2000000000000000,0.05833333333333310,-0.1141008868901470
